State,Number of CoCs,"Total Homeless, 2014","Sheltered Homeless, 2014","Unsheltered Homeless, 2014","Homeless Individuals, 2014","Sheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals, 2014","Homeless People in Families, 2014","Sheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families, 2014","Chronically Homeless, 2014","Sheltered Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Chronically Homeless Individuals, 2014","Sheltered Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Chronically Homeless People in Families, 2014","Sheltered Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Homeless Veterans, 2014","Sheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans, 2014"
SC,4,"5,057","3,249","1,808","3,813","2,252","1,561","1,244",997,247,273,100,173,273,100,173,0,0,0,703,399,304
SD,1,885,830,55,490,450,40,395,380,15,118,92,26,81,68,13,37,24,13,132,128,4
TN,10,"9,415","6,383","3,032","6,800","4,693","2,107","2,615","1,690",925,"2,195","1,364",831,"1,904","1,169",735,291,195,96,"1,142",920,222
TX,12,"28,495","18,228","10,267","19,177","9,758","9,419","9,318","8,470",848,"5,416","2,231","3,185","4,952","1,892","3,060",464,339,125,"2,718","1,576","1,142"
UT,3,"3,081","2,768",313,"1,729","1,540",189,"1,352","1,228",124,422,380,42,386,346,40,36,34,2,317,293,24
VA,16,"7,020","6,330",690,"4,234","3,570",664,"2,786","2,760",26,"1,021",730,291,965,674,291,56,56,0,620,535,85
VI,1,448,85,363,425,62,363,23,23,0,88,1,87,88,1,87,0,0,0,32,1,31
VT,2,"1,559","1,396",163,823,704,119,736,692,44,283,228,55,199,159,40,84,69,15,120,111,9
WA,7,"18,442","12,540","5,902","11,390","6,257","5,133","7,052","6,283",769,"2,535","1,129","1,406","2,311","1,015","1,296",224,114,110,"1,433","1,089",344
WI,4,"6,055","5,712",343,"2,929","2,676",253,"3,126","3,036",90,524,447,77,436,359,77,88,88,0,520,496,24
WV,4,"2,013","1,583",430,"1,488","1,175",313,525,408,117,482,304,178,424,279,145,58,25,33,333,303,30
WY,1,757,563,194,463,327,136,294,236,58,144,104,40,105,86,19,39,18,21,116,95,21
Total,414,"576,450","401,051","175,399","360,189","209,148","151,041","216,261","191,903","24,358","99,132","40,565","58,567","83,989","31,203","52,786","15,143","9,362","5,781","49,689","32,119","17,570"
 ,,,,,,,,,,,,,,,,,,,,,,
