State,Number of CoCs,"Total Homeless, 2016","Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Homeless Veterans, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Homeless Unaccompanied Youth (Under 25), 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016"
NH,3,"1,366","1,223",143,827,695,132,539,528,11,281,216,65,227,164,63,54,52,2,123,119,4,80,72,8,1,0,1,79,72,7,32,31,1,1,1,0,31,30,1,61,59,2
NJ,15,"8,895","7,461","1,434","5,540","4,187","1,353","3,355","3,274",81,822,399,423,704,291,413,118,108,10,556,485,71,533,470,63,34,34,0,499,436,63,269,266,3,0,0,0,269,266,3,337,333,4
NM,2,"2,263","1,809",454,"1,556","1,127",429,707,682,25,649,378,271,603,342,261,46,36,10,214,150,64,188,163,25,69,68,1,119,95,24,14,14,0,0,0,0,14,14,0,23,23,0
NV,3,"7,398","3,471","3,927","6,853","2,937","3,916",545,534,11,347,62,285,330,45,285,17,17,0,851,437,414,"1,672",309,"1,363",292,28,264,"1,380",281,"1,099",34,29,5,1,1,0,33,28,5,42,37,5
NY,26,"86,352","82,761","3,591","35,315","31,793","3,522","51,037","50,968",69,"5,368","3,299","2,069","4,112","2,063","2,049","1,256","1,236",20,"1,248","1,156",92,"2,889","2,641",248,188,165,23,"2,701","2,476",225,"2,724","2,718",6,11,11,0,"2,713","2,707",6,"3,311","3,304",7
OH,9,"10,404","9,266","1,138","6,946","5,890","1,056","3,458","3,376",82,778,439,339,733,403,330,45,36,9,930,845,85,622,557,65,46,44,2,576,513,63,225,219,6,5,5,0,220,214,6,340,332,8
OK,8,"4,107","3,087","1,020","2,997","2,120",877,"1,110",967,143,696,405,291,610,329,281,86,76,10,358,260,98,410,266,144,39,35,4,371,231,140,50,41,9,0,0,0,50,41,9,70,60,10
OR,7,"13,238","5,236","8,002","9,379","3,658","5,721","3,859","1,578","2,281","3,460",554,"2,906","3,077",506,"2,571",383,48,335,"1,341",603,738,"1,175",418,757,236,58,178,939,360,579,133,92,41,0,0,0,133,92,41,169,119,50
PA,16,"15,339","13,664","1,675","8,599","7,080","1,519","6,740","6,584",156,"1,325",787,538,"1,209",673,536,116,114,2,"1,136","1,088",48,868,736,132,63,45,18,805,691,114,549,542,7,4,4,0,545,538,7,779,771,8
PR,2,"4,418","1,321","3,097","3,799",899,"2,900",619,422,197,"1,772",211,"1,561","1,623",203,"1,420",149,8,141,146,37,109,163,52,111,6,4,2,157,48,109,31,27,4,0,0,0,31,27,4,43,35,8
RI,1,"1,160","1,123",37,859,822,37,301,301,0,144,141,3,136,133,3,8,8,0,89,89,0,64,63,1,0,0,0,64,63,1,21,21,0,0,0,0,21,21,0,31,31,0
SC,4,"5,051","3,361","1,690","3,758","2,340","1,418","1,293","1,021",272,988,448,540,913,395,518,75,53,22,738,452,286,266,151,115,20,14,6,246,137,109,48,44,4,2,2,0,46,42,4,76,72,4
SD,1,"1,072",887,185,548,446,102,524,441,83,44,37,7,34,30,4,10,7,3,120,109,11,77,69,8,9,9,0,68,60,8,19,16,3,1,1,0,18,15,3,25,21,4
TN,10,"8,779","5,773","3,006","6,652","4,202","2,450","2,127","1,571",556,"1,782",694,"1,088","1,640",613,"1,027",142,81,61,831,654,177,416,249,167,26,22,4,390,227,163,107,74,33,0,0,0,107,74,33,147,108,39
TX,11,"23,122","16,214","6,908","15,959","9,315","6,644","7,163","6,899",264,"3,689","1,637","2,052","3,534","1,500","2,034",155,137,18,"1,768","1,285",483,"1,309",764,545,187,123,64,"1,122",641,481,309,303,6,5,5,0,304,298,6,465,452,13
UT,3,"2,807","2,571",236,"1,828","1,612",216,979,959,20,190,180,10,168,158,10,22,22,0,335,311,24,150,132,18,18,17,1,132,115,17,17,17,0,0,0,0,17,17,0,30,30,0
VA,16,"6,268","5,502",766,"3,959","3,245",714,"2,309","2,257",52,793,568,225,750,525,225,43,43,0,515,439,76,322,278,44,12,12,0,310,266,44,102,98,4,1,1,0,101,97,4,146,142,4
VI,1,341,89,252,308,56,252,33,33,0,26,8,18,26,8,18,0,0,0,32,2,30,8,0,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0
VT,2,"1,117",961,156,655,516,139,462,445,17,127,81,46,120,74,46,7,7,0,110,97,13,71,62,9,1,1,0,70,61,9,46,43,3,0,0,0,46,43,3,49,46,3
WA,7,"20,827","12,361","8,466","13,900","6,389","7,511","6,927","5,972",955,"2,567",981,"1,586","2,307",825,"1,482",260,156,104,"1,484",999,485,"1,307",714,593,92,77,15,"1,215",637,578,295,279,16,6,6,0,289,273,16,455,434,21
WI,4,"5,685","5,275",410,"2,886","2,495",391,"2,799","2,780",19,363,296,67,276,209,67,87,87,0,415,392,23,337,273,64,25,20,5,312,253,59,188,188,0,0,0,0,188,188,0,267,267,0
WV,4,"1,387","1,252",135,"1,039",904,135,348,348,0,165,117,48,161,113,48,4,4,0,143,126,17,95,83,12,6,5,1,89,78,11,19,19,0,0,0,0,19,19,0,35,35,0
WY,1,857,491,366,517,277,240,340,214,126,91,33,58,80,29,51,11,4,7,87,56,31,31,24,7,3,1,2,28,23,5,15,12,3,0,0,0,15,12,3,17,14,3
