State,Number of CoCs,"Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
AK,2,"1,956","1,639",317,"1,342","1,084",258,614,555,59,222,81,141,182,70,112,40,11,29,180,149,31,155,123,32,24,18,6,131,105,26,18,18,0,0,0,0,18,18,0,21,21,0
AL,8,"3,970","2,943","1,027","2,868","2,076",792,"1,102",867,235,607,168,439,557,157,400,50,11,39,474,399,75,228,168,60,32,27,5,196,141,55,25,21,4,5,5,0,20,16,4,35,29,6
AR,7,"2,560","1,678",882,"1,833","1,089",744,727,589,138,623,319,304,524,234,290,99,85,14,456,385,71,188,95,93,0,0,0,188,95,93,22,22,0,0,0,0,22,22,0,20,20,0
AZ,3,"9,896","6,939","2,957","6,548","3,824","2,724","3,348","3,115",233,"1,366",344,"1,022","1,246",297,949,120,47,73,"1,220",672,548,621,450,171,83,79,4,538,371,167,166,156,10,6,6,0,160,150,10,194,185,9
CA,43,"115,738","42,039","73,699","93,156","24,843","68,313","22,582","17,196","5,386","32,227","5,077","27,150","29,178","4,169","25,009","3,049",908,"2,141","11,311","4,309","7,002","10,416","2,464","7,952",892,260,632,"9,524","2,204","7,320",854,770,84,11,11,0,843,759,84,"1,160","1,039",121
CO,3,"9,953","7,134","2,819","5,729","3,739","1,990","4,224","3,395",829,"1,877",882,995,"1,572",754,818,305,128,177,950,644,306,566,360,206,82,74,8,484,286,198,171,146,25,1,0,1,170,146,24,226,197,29
CT,3,"4,047","3,421",626,"2,719","2,124",595,"1,328","1,297",31,583,278,305,538,240,298,45,38,7,282,241,41,124,92,32,11,11,0,113,81,32,43,41,2,0,0,0,43,41,2,65,63,2
DC,1,"7,298","6,754",544,"3,821","3,277",544,"3,477","3,477",0,"1,790","1,470",320,"1,593","1,273",320,197,197,0,408,366,42,200,183,17,7,7,0,193,176,17,366,366,0,0,0,0,366,366,0,544,544,0
DE,1,953,916,37,602,565,37,351,351,0,80,75,5,64,59,5,16,16,0,79,74,5,57,56,1,3,3,0,54,53,1,21,21,0,0,0,0,21,21,0,41,41,0
FL,27,"35,900","18,883","17,017","26,325","12,033","14,292","9,575","6,850","2,725","6,540","1,383","5,157","6,021","1,210","4,811",519,173,346,"3,926","2,372","1,554","2,371","1,207","1,164",593,321,272,"1,778",886,892,315,278,37,10,10,0,305,268,37,449,397,52
